,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
15260,The Marblous Athens,9.2,"Syntagma, Athens",Wonderful ,"1,185 reviews",Price 464 zł,200 m from center,Standard Single Room,0,Breakfast included,Location 9.8
15261,Evripidou Suites,8.9,"Syntagma, Athens",Excellent ,955 reviews,Original price 762 zł. Current price 504 zł.,0.7 km from center,Superior Double Room,0,Breakfast included,
15262,Heritage Hill Hotel,8.9,Athens,Excellent ,"1,054 reviews",Original price 909 zł. Current price 677 zł.,1.7 km from center,Classic Room,4,Breakfast included,
15263,Athens 1890 Hotel & Spa,8.4,"Athens City Centre, Athens",Very Good ,494 reviews,Price 688 zł,0.6 km from center,Superior Athenian Room,4,,Location 9.7
15264,Ermou Athens City Center Apartment,9.0,"Syntagma, Athens",Wonderful ,227 reviews,Price 354 zł,350 m from center,Deluxe Apartment,4,,Location 9.8
15265,Athens Golden City Hotel,7.2,"Athens City Centre, Athens",Good ,"4,710 reviews",Price 159 zł,1.5 km from center,Single Room,3,Breakfast included,
15266,GREA Ardittos,9.3,"Kallimarmaro, Athens",Wonderful ,211 reviews,Original price 361 zł. Current price 325 zł.,1.1 km from center,Apartment with Terrace,3,,
15267,Heritage Hill Hotel,8.9,Athens,Excellent ,"1,054 reviews",Original price 909 zł. Current price 677 zł.,1.7 km from center,Classic Room,4,Breakfast included,
15268,Athens 1890 Hotel & Spa,8.4,"Athens City Centre, Athens",Very Good ,494 reviews,Price 688 zł,0.6 km from center,Superior Athenian Room,4,,Location 9.7
15269,"Hotel Grande Bretagne, a Luxury Collection Hotel, Athens",9.2,"Syntagma, Athens",Wonderful ,504 reviews,"Price 1,696 zł",50 m from center,"Classic, Guest room, 1 King, Courtyard view",5,,Location 9.8
15270,Ermou Athens City Center Apartment,9.0,"Syntagma, Athens",Wonderful ,227 reviews,Price 354 zł,350 m from center,Deluxe Apartment,4,,Location 9.8
15271,Athens Golden City Hotel,7.2,"Athens City Centre, Athens",Good ,"4,710 reviews",Price 159 zł,1.5 km from center,Single Room,3,Breakfast included,
15272,GREA Ardittos,9.3,"Kallimarmaro, Athens",Wonderful ,211 reviews,Price 361 zł,1.1 km from center,Apartment with Terrace,3,,
15273,360 Degrees,8.9,"Plaka, Athens",Excellent ,775 reviews,Price 480 zł,0.8 km from center,Standard Double or Twin Room,0,Breakfast included,Location 9.7
15274,Acropolis Stay,9.2,"Koukaki, Athens",Wonderful ,519 reviews,Original price 392 zł. Current price 314 zł.,1.1 km from center,Standard Double Room with Balcony,0,,Location 9.6
15275,Mansion Hotel,7.1,"Athens City Centre, Athens",Good ,"1,492 reviews",Price 144 zł,1.3 km from center,Single Room,0,,
15276,Moxy Athens City,8.4,"Athens City Centre, Athens",Very Good ,127 reviews,Price 368 zł,1 km from center,Queen Room with Limited View,0,,
